ImageId,Label
1,2
2,0
3,9
4,2
5,2
6,4
7,3
8,3
9,0
10,3
11,8
12,4
13,4
14,0
15,4
16,3
17,2
18,1
19,7
20,8
21,9
22,1
23,1
24,4
25,7
26,4
27,3
28,7
29,9
30,7
31,4
32,5
33,4
34,3
35,6
36,3
37,9
38,5
39,1
40,5
41,7
42,7
43,4
44,7
45,6
46,7
47,8
48,3
49,6
50,7
51,6
52,8
53,8
54,0
55,8
56,3
57,1
58,0
59,5
60,5
61,4
62,1
63,7
64,4
65,0
66,8
67,1
68,4
69,3
70,1
71,6
72,5
73,8
74,8
75,3
76,3
77,2
78,7
79,3
80,3
81,0
82,1
83,1
84,0
85,9
86,3
87,4
88,3
89,2
90,7
91,2
92,3
93,6
94,6
95,4
96,9
97,3
98,8
99,7
100,9
101,8
102,3
103,3
104,0
105,4
106,4
107,8
108,0
109,8
110,4
111,3
112,0
113,1
114,4
115,1
116,0
117,1
118,1
119,1
120,8
121,3
122,9
123,3
124,0
125,6
126,2
127,3
128,9
129,1
130,9
131,2
132,5
133,6
134,7
135,0
136,8
137,3
138,1
139,6
140,5
141,5
142,8
143,4
144,8
145,5
146,8
147,5
148,7
149,0
150,8
151,4
152,2
153,5
154,6
155,5
156,3
157,7
158,0
159,7
160,8
161,8
162,0
163,4
164,6
165,1
166,3
167,7
168,6
169,4
170,3
171,3
172,7
173,9
174,6
175,1
176,3
177,7
178,4
179,1
180,2
181,4
182,8
183,8
184,3
185,4
186,7
187,2
188,1
189,6
190,3
191,6
192,1
193,4
194,4
195,6
196,0
197,4
198,7
199,6
200,9
201,1
202,9
203,8
204,9
205,7
206,3
207,8
208,4
209,6
210,2
211,3
212,9
213,3
214,6
215,7
216,7
217,1
218,6
219,3
220,4
221,2
222,2
223,1
224,0
225,3
226,8
227,9
228,6
229,1
230,0
231,0
232,1
233,9
234,1
235,8
236,2
237,2
238,3
239,8
240,6
241,7
242,6
243,2
244,8
245,5
246,5
247,9
248,7
249,3
250,7
251,9
252,7
253,1
254,1
255,8
256,9
257,8
258,1
259,4
260,2
261,6
262,3
263,8
264,5
265,9
266,0
267,6
268,3
269,4
270,1
271,6
272,0
273,6
274,3
275,1
276,6
277,1
278,6
279,3
280,4
281,8
282,9
283,3
284,7
285,6
286,1
287,7
288,4
289,9
290,7
291,7
292,7
293,7
294,9
295,9
296,6
297,3
298,0
299,2
300,3
301,7
302,9
303,8
304,0
305,1
306,6
307,4
308,1
309,9
310,3
311,8
312,5
313,9
314,4
315,2
316,3
317,8
318,4
319,1
320,1
321,4
322,1
323,1
324,4
325,8
326,4
327,1
328,1
329,3
330,8
331,6
332,3
333,1
334,8
335,8
336,9
337,7
338,1
339,6
340,8
341,6
342,4
343,1
344,0
345,2
346,0
347,7
348,5
349,3
350,0
351,6
352,3
353,7
354,0
355,7
356,4
357,9
358,9
359,0
360,9
361,3
362,6
363,3
364,0
365,4
366,2
367,3
368,8
369,1
370,6
371,4
372,8
373,7
374,9
375,7
376,6
377,9
378,5
379,3
380,9
381,6
382,5
383,7
384,9
385,3
386,6
387,3
388,1
389,8
390,7
391,1
392,7
393,9
394,7
395,6
396,1
397,1
398,1
399,7
400,3
401,9
402,9
403,6
404,1
405,1
406,1
407,7
408,3
409,1
410,8
411,8
412,3
413,4
414,1
415,2
416,7
417,1
418,1
419,3
420,3
421,7
422,6
423,6
424,5
425,3
426,1
427,4
428,4
429,9
430,3
431,4
432,8
433,5
434,2
435,0
436,1
437,8
438,9
439,1
440,0
441,8
442,7
443,7
444,4
445,1
446,4
447,1
448,5
449,3
450,4
451,9
452,9
453,6
454,9
455,6
456,7
457,2
458,0
459,7
460,6
461,6
462,7
463,7
464,5
465,5
466,1
467,7
468,4
469,4
470,1
471,1
472,4
473,7
474,1
475,6
476,0
477,1
478,3
479,1
480,0
481,4
482,7
483,1
484,3
485,7
486,9
487,4
488,8
489,3
490,4
491,7
492,9
493,3
494,4
495,3
496,7
497,1
498,4
499,3
500,8
501,6
502,6
503,7
504,4
505,1
506,3
507,6
508,3
509,2
510,2
511,7
512,1
513,8
514,7
515,8
516,0
517,5
518,7
519,4
520,0
521,3
522,7
523,0
524,4
525,8
526,1
527,0
528,1
529,1
530,9
531,0
532,0
533,8
534,8
535,7
536,4
537,6
538,3
539,4
540,3
541,0
542,2
543,1
544,2
545,0
546,3
547,0
548,9
549,3
550,1
551,1
552,3
553,0
554,3
555,7
556,8
557,7
558,5
559,6
560,8
561,0
562,3
563,8
564,1
565,6
566,8
567,5
568,1
569,1
570,6
571,2
572,8
573,3
574,6
575,0
576,4
577,0
578,0
579,1
580,2
581,3
582,1
583,4
584,6
585,7
586,1
587,3
588,6
589,0
590,8
591,8
592,8
593,1
594,5
595,3
596,6
597,2
598,6
599,3
600,3
601,1
602,1
603,7
604,1
605,6
606,2
607,8
608,5
609,6
610,4
611,7
612,4
613,0
614,3
615,3
616,4
617,7
618,0
619,8
620,7
621,0
622,5
623,9
624,4
625,0
626,8
627,4
628,5
629,6
630,8
631,6
632,1
633,0
634,6
635,1
636,4
637,9
638,7
639,8
640,3
641,2
642,4
643,9
644,1
645,4
646,4
647,4
648,7
649,3
650,8
651,4
652,9
653,8
654,0
655,8
656,3
657,4
658,3
659,2
660,7
661,0
662,3
663,4
664,5
665,4
666,8
667,1
668,3
669,7
670,6
671,2
672,9
673,8
674,0
675,8
676,7
677,7
678,5
679,6
680,8
681,6
682,7
683,1
684,1
685,1
686,3
687,4
688,6
689,9
690,9
691,2
692,2
693,0
694,1
695,8
696,9
697,3
698,9
699,7
700,4
701,4
702,5
703,7
704,8
705,6
706,0
707,8
708,4
709,6
710,7
711,3
712,3
713,1
714,5
715,5
716,3
717,2
718,1
719,4
720,8
721,9
722,2
723,8
724,3
725,1
726,0
727,6
728,4
729,7
730,5
731,7
732,1
733,3
734,2
735,4
736,7
737,1
738,6
739,1
740,8
741,4
742,8
743,0
744,4
745,3
746,9
747,0
748,7
749,8
750,6
751,4
752,9
753,4
754,1
755,4
756,1
757,7
758,1
759,1
760,3
761,8
762,8
763,4
764,0
765,4
766,0
767,0
768,8
769,1
770,8
771,7
772,8
773,0
774,6
775,5
776,3
777,4
778,6
779,3
780,6
781,3
782,6
783,4
784,8
785,7
786,4
787,6
788,9
789,1
790,7
791,8
792,0
793,4
794,0
795,4
796,3
797,1
798,6
799,9
800,7
801,1
802,1
803,3
804,3
805,1
806,9
807,9
808,3
809,0
810,1
811,5
812,9
813,0
814,8
815,2
816,9
817,0
818,9
819,7
820,4
821,3
822,3
823,5
824,0
825,1
826,9
827,7
828,4
829,5
830,8
831,7
832,1
833,3
834,9
835,3
836,9
837,6
838,1
839,3
840,6
841,1
842,7
843,0
844,8
845,5
846,6
847,7
848,2
849,8
850,0
851,8
852,9
853,9
854,7
855,3
856,4
857,1
858,8
859,4
860,1
861,0
862,7
863,1
864,4
865,4
866,8
867,6
868,9
869,3
870,3
871,7
872,5
873,4
874,3
875,3
876,3
877,1
878,1
879,0
880,1
881,4
882,4
883,1
884,1
885,3
886,4
887,1
888,1
889,4
890,9
891,1
892,7
893,6
894,3
895,4
896,2
897,9
898,1
899,1
900,1
901,8
902,5
903,7
904,7
905,4
906,4
907,4
908,3
909,2
910,7
911,4
912,8
913,4
914,7
915,6
916,6
917,4
918,6
919,1
920,3
921,4
922,3
923,2
924,9
925,4
926,7
927,9
928,6
929,6
930,3
931,0
932,9
933,1
934,4
935,5
936,8
937,7
938,7
939,4
940,1
941,6
942,0
943,6
944,1
945,4
946,9
947,4
948,2
949,9
950,3
951,6
952,7
953,5
954,7
955,3
956,2
957,7
958,3
959,3
960,2
961,7
962,9
963,4
964,0
965,4
966,5
967,1
968,8
969,3
970,5
971,3
972,2
973,7
974,6
975,9
976,0
977,8
978,0
979,7
980,1
981,3
982,4
983,7
984,4
985,4
986,9
987,0
988,3
989,8
990,2
991,1
992,4
993,8
994,6
995,8
996,3
997,2
998,2
999,2
1000,7
1001,0
1002,9
1003,0
1004,7
1005,1
1006,8
1007,4
1008,2
1009,3
1010,5
1011,2
1012,6
1013,3
1014,4
1015,2
1016,9
1017,6
1018,3
1019,4
1020,0
1021,5
1022,9
1023,8
1024,6
1025,2
1026,6
1027,1
1028,0
1029,5
1030,1
1031,9
1032,1
1033,8
1034,9
1035,4
1036,5
1037,0
1038,1
1039,0
1040,8
1041,1
1042,6
1043,1
1044,9
1045,3
1046,2
1047,7
1048,7
1049,6
1050,2
1051,2
1052,6
1053,3
1054,1
1055,9
1056,1
1057,1
1058,2
1059,6
1060,5
1061,8
1062,8
1063,6
1064,8
1065,7
1066,4
1067,7
1068,8
1069,0
1070,9
1071,8
1072,8
1073,9
1074,6
1075,9
1076,7
1077,6
1078,1
1079,8
1080,9
1081,0
1082,0
1083,3
1084,3
1085,7
1086,7
1087,6
1088,6
1089,3
1090,1
1091,2
1092,1
1093,0
1094,1
1095,4
1096,6
1097,5
1098,3
1099,7
1100,2
1101,4
1102,3
1103,9
1104,1
1105,8
1106,3
1107,0
1108,6
1109,9
1110,6
1111,7
1112,2
1113,4
1114,1
1115,0
1116,3
1117,2
1118,6
1119,5
1120,9
1121,0
1122,5
1123,4
1124,1
1125,3
1126,3
1127,4
1128,6
1129,1
1130,3
1131,0
1132,0
1133,0
1134,0
1135,5
1136,6
1137,8
1138,3
1139,4
1140,7
1141,0
1142,0
1143,2
1144,1
1145,2
1146,2
1147,7
1148,8
1149,0
1150,8
1151,1
1152,7
1153,8
1154,8
1155,7
1156,4
1157,4
1158,1
1159,5
1160,0
1161,9
1162,1
1163,9
1164,0
1165,6
1166,4
1167,6
1168,2
1169,9
1170,5
1171,8
1172,2
1173,9
1174,1
1175,8
1176,2
1177,0
1178,9
1179,2
1180,5
1181,3
1182,7
1183,9
1184,9
1185,1
1186,7
1187,0
1188,8
1189,5
1190,7
1191,7
1192,2
1193,3
1194,3
1195,8
1196,1
1197,3
1198,9
1199,7
1200,4
1201,0
1202,4
1203,5
1204,0
1205,1
1206,7
1207,9
1208,6
1209,4
1210,4
1211,4
1212,0
1213,0
1214,4
1215,1
1216,7
1217,6
1218,7
